"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.576161493E1,-7.514659405E0,6.281159073E-2,-1.279561877E0
4.577161493E1,-7.499704361E0,4.360919297E-1,-1.372882009E0
4.578161493E1,-7.474579811E0,6.801598072E-1,-1.542174220E0
4.579161493E1,-7.574480057E0,1.037288666E0,-1.706082582E0
4.580161493E1,-7.719245911E0,1.136590719E0,-1.739582062E0
4.581161493E1,-7.938189030E0,9.810572863E-1,-1.913659930E0
4.582161493E1,-7.996214867E0,9.750752449E-1,-1.999203324E0
4.583161493E1,-8.070392609E0,7.160521746E-1,-2.091925144E0
4.584161493E1,-8.119445801E0,2.841476798E-1,-2.216950178E0
4.585161493E1,-8.104490280E0,9.272187948E-2,-2.363510609E0
4.586161493E1,-8.065607071E0,-8.913264424E-2,-2.581855536E0
4.587161493E1,-8.051250458E0,-1.567298770E-1,-2.762513638E0
4.588161493E1,-8.061419487E0,-1.375873089E-1,-2.824727058E0
4.589161493E1,-8.153543472E0,-4.307080805E-2,-2.886940479E0
4.590161493E1,-8.248658180E0,-1.591227055E-1,-3.019144058E0
4.591161493E1,-8.504690170E0,-5.162515044E-1,-3.195614576E0
4.592161493E1,-8.583653450E0,-8.955138922E-1,-3.473780155E0
4.593161493E1,-8.597412109E0,-1.025324464E0,-3.606581926E0
4.594161493E1,-8.525627136E0,-1.039083242E0,-3.630510092E0
4.595161493E1,-8.527421951E0,-9.242277741E-1,-3.698107481E0
4.596161493E1,-8.672187805E0,-8.015955687E-1,-3.741178274E0
4.597161493E1,-9.006584167E0,-8.195417523E-1,-3.815355778E0
4.598161493E1,-9.413962364E0,-7.848458290E-1,-3.889533281E0
4.599161493E1,-9.830313683E0,-7.561319470E-1,-3.991826296E0
4.600161493E1,-1.008514881E1,-7.010970116E-1,-4.105485439E0
4.601161493E1,-1.015872860E1,-5.060819983E-1,-4.149154663E0
4.602161493E1,-9.966106415E0,-2.458625287E-1,-4.314857483E0
4.603161493E1,-9.640084267E0,5.383851007E-3,-4.557130814E0
